Type,depth,1&5,2&10,4&15,5&20,6&25,8&30,10&35,12&40
P,0.5,31.11,19.57,11.44,9.54,8.21,6.46,5.36,4.59
P,0.75,27.18,18.13,10.91,9.14,7.89,6.24,5.18,4.44
2P,0.5,12.61,9.95,7.02,6.14,5.47,4.51,3.85,3.37
2P,0.75,11.77,9.47,6.77,5.94,5.30,4.38,3.74,3.28
2xL,0.5,14.59,8.36,5.99,4.72,3.92,3.36,2.95,2.63
2xL,0.75,14.02,8.05,5.79,4.56,3.79,3.25,2.86,2.55
3xL,0.5,11.52,6.52,4.64,3.64,3.00,2.57,2.25,2.00
3xL,0.75,11.03,6.30,4.49,3.52,2.92,2.50,2.19,1.95
4xL,0.5,9.84,5.52,3.90,3.05,2.51,2.14,1.87,1.66
4xL,0.75,9.41,5.33,3.79,2.96,2.44,2.08,1.82,1.62
P+2xL,0.5,6.49,5.16,4.27,6.34,3.17,2.82,2.53,2.31
P+2xL,0.75,6.25,4.99,4.13,3.52,3.08,2.73,2.46,2.24
P+3xL,0.5,5.95,4.50,3.60,3.01,2.59,2.27,2.03,1.84
P+3xL,0.75,5.73,4.35,3.50,2.92,2.52,2.21,1.98,1.80
P+4xL,0.5,5.50,4.01,3.15,2.60,2.22,1.94,1.72,1.55
P+4xL,0.75,5.31,3.89,3.07,2.53,2.16,1.89,1.68,1.51
2P+2xL,0.5,4.92,4.26,3.70,3.25,2.89,2.61,2.37,2.18
2P+2xL,0.75,4.75,4.12,3.58,3.15,2.81,2.53,2.30,2.11
2P+3xL,0.5,4.70,3.90,3.27,2.80,2.45,2.17,1.95,1.77
2P+3xL,0.75,4.54,3.77,3.17,2.72,2.38,2.11,1.90,1.73
2P+4xL,0.5,4.51,3.60,2.95,2.48,2.14,1.88,1.68,1.52
2P+4xL,0.75,4.35,3.49,2.86,2.41,2.06,1.83,1.64,1.48
